date_key,date_jour,annee,trimestre,mois,mois_nom,jour,semaine_iso,jour_semaine_num,jour_semaine_nom,est_weekend,annee_mois,annee_trimestre,debut_mois,debut_semaine
20230325,2023-03-25,2023,1,3,March,25,12,6,Saturday,true,2023-03,2023-T1,2023-03-01,2023-03-20
20230326,2023-03-26,2023,1,3,March,26,12,7,Sunday,true,2023-03,2023-T1,2023-03-01,2023-03-20
20230327,2023-03-27,2023,1,3,March,27,13,1,Monday,false,2023-03,2023-T1,2023-03-01,2023-03-27
20230328,2023-03-28,2023,1,3,March,28,13,2,Tuesday,false,2023-03,2023-T1,2023-03-01,2023-03-27
20230329,2023-03-29,2023,1,3,March,29,13,3,Wednesday,false,2023-03,2023-T1,2023-03-01,2023-03-27
20230330,2023-03-30,2023,1,3,March,30,13,4,Thursday,false,2023-03,2023-T1,2023-03-01,2023-03-27
20230331,2023-03-31,2023,1,3,March,31,13,5,Friday,false,2023-03,2023-T1,2023-03-01,2023-03-27
20230401,2023-04-01,2023,2,4,April,1,13,6,Saturday,true,2023-04,2023-T2,2023-04-01,2023-03-27
20230402,2023-04-02,2023,2,4,April,2,13,7,Sunday,true,2023-04,2023-T2,2023-04-01,2023-03-27
20230403,2023-04-03,2023,2,4,April,3,14,1,Monday,false,2023-04,2023-T2,2023-04-01,2023-04-03
20230404,2023-04-04,2023,2,4,April,4,14,2,Tuesday,false,2023-04,2023-T2,2023-04-01,2023-04-03
20230405,2023-04-05,2023,2,4,April,5,14,3,Wednesday,false,2023-04,2023-T2,2023-04-01,2023-04-03
20230406,2023-04-06,2023,2,4,April,6,14,4,Thursday,false,2023-04,2023-T2,2023-04-01,2023-04-03
20230407,2023-04-07,2023,2,4,April,7,14,5,Friday,false,2023-04,2023-T2,2023-04-01,2023-04-03
20230408,2023-04-08,2023,2,4,April,8,14,6,Saturday,true,2023-04,2023-T2,2023-04-01,2023-04-03
20230409,2023-04-09,2023,2,4,April,9,14,7,Sunday,true,2023-04,2023-T2,2023-04-01,2023-04-03
20230410,2023-04-10,2023,2,4,April,10,15,1,Monday,false,2023-04,2023-T2,2023-04-01,2023-04-10
20230411,2023-04-11,2023,2,4,April,11,15,2,Tuesday,false,2023-04,2023-T2,2023-04-01,2023-04-10
20230412,2023-04-12,2023,2,4,April,12,15,3,Wednesday,false,2023-04,2023-T2,2023-04-01,2023-04-10
20230413,2023-04-13,2023,2,4,April,13,15,4,Thursday,false,2023-04,2023-T2,2023-04-01,2023-04-10
20230414,2023-04-14,2023,2,4,April,14,15,5,Friday,false,2023-04,2023-T2,2023-04-01,2023-04-10
20230415,2023-04-15,2023,2,4,April,15,15,6,Saturday,true,2023-04,2023-T2,2023-04-01,2023-04-10
20230416,2023-04-16,2023,2,4,April,16,15,7,Sunday,true,2023-04,2023-T2,2023-04-01,2023-04-10
20230417,2023-04-17,2023,2,4,April,17,16,1,Monday,false,2023-04,2023-T2,2023-04-01,2023-04-17
20230418,2023-04-18,2023,2,4,April,18,16,2,Tuesday,false,2023-04,2023-T2,2023-04-01,2023-04-17
20230419,2023-04-19,2023,2,4,April,19,16,3,Wednesday,false,2023-04,2023-T2,2023-04-01,2023-04-17
20230420,2023-04-20,2023,2,4,April,20,16,4,Thursday,false,2023-04,2023-T2,2023-04-01,2023-04-17
20230421,2023-04-21,2023,2,4,April,21,16,5,Friday,false,2023-04,2023-T2,2023-04-01,2023-04-17
20230422,2023-04-22,2023,2,4,April,22,16,6,Saturday,true,2023-04,2023-T2,2023-04-01,2023-04-17
20230423,2023-04-23,2023,2,4,April,23,16,7,Sunday,true,2023-04,2023-T2,2023-04-01,2023-04-17
20230424,2023-04-24,2023,2,4,April,24,17,1,Monday,false,2023-04,2023-T2,2023-04-01,2023-04-24
20230425,2023-04-25,2023,2,4,April,25,17,2,Tuesday,false,2023-04,2023-T2,2023-04-01,2023-04-24
20230426,2023-04-26,2023,2,4,April,26,17,3,Wednesday,false,2023-04,2023-T2,2023-04-01,2023-04-24
20230427,2023-04-27,2023,2,4,April,27,17,4,Thursday,false,2023-04,2023-T2,2023-04-01,2023-04-24
20230428,2023-04-28,2023,2,4,April,28,17,5,Friday,false,2023-04,2023-T2,2023-04-01,2023-04-24
20230429,2023-04-29,2023,2,4,April,29,17,6,Saturday,true,2023-04,2023-T2,2023-04-01,2023-04-24
20230430,2023-04-30,2023,2,4,April,30,17,7,Sunday,true,2023-04,2023-T2,2023-04-01,2023-04-24
20230501,2023-05-01,2023,2,5,May,1,18,1,Monday,false,2023-05,2023-T2,2023-05-01,2023-05-01
20230502,2023-05-02,2023,2,5,May,2,18,2,Tuesday,false,2023-05,2023-T2,2023-05-01,2023-05-01
20230503,2023-05-03,2023,2,5,May,3,18,3,Wednesday,false,2023-05,2023-T2,2023-05-01,2023-05-01
20230504,2023-05-04,2023,2,5,May,4,18,4,Thursday,false,2023-05,2023-T2,2023-05-01,2023-05-01
20230505,2023-05-05,2023,2,5,May,5,18,5,Friday,false,2023-05,2023-T2,2023-05-01,2023-05-01
20230506,2023-05-06,2023,2,5,May,6,18,6,Saturday,true,2023-05,2023-T2,2023-05-01,2023-05-01
20230507,2023-05-07,2023,2,5,May,7,18,7,Sunday,true,2023-05,2023-T2,2023-05-01,2023-05-01
20230508,2023-05-08,2023,2,5,May,8,19,1,Monday,false,2023-05,2023-T2,2023-05-01,2023-05-08
20230509,2023-05-09,2023,2,5,May,9,19,2,Tuesday,false,2023-05,2023-T2,2023-05-01,2023-05-08
20230510,2023-05-10,2023,2,5,May,10,19,3,Wednesday,false,2023-05,2023-T2,2023-05-01,2023-05-08
20230511,2023-05-11,2023,2,5,May,11,19,4,Thursday,false,2023-05,2023-T2,2023-05-01,2023-05-08
20230512,2023-05-12,2023,2,5,May,12,19,5,Friday,false,2023-05,2023-T2,2023-05-01,2023-05-08
20230513,2023-05-13,2023,2,5,May,13,19,6,Saturday,true,2023-05,2023-T2,2023-05-01,2023-05-08
20230514,2023-05-14,2023,2,5,May,14,19,7,Sunday,true,2023-05,2023-T2,2023-05-01,2023-05-08
20230515,2023-05-15,2023,2,5,May,15,20,1,Monday,false,2023-05,2023-T2,2023-05-01,2023-05-15
20230516,2023-05-16,2023,2,5,May,16,20,2,Tuesday,false,2023-05,2023-T2,2023-05-01,2023-05-15
20230517,2023-05-17,2023,2,5,May,17,20,3,Wednesday,false,2023-05,2023-T2,2023-05-01,2023-05-15
20230518,2023-05-18,2023,2,5,May,18,20,4,Thursday,false,2023-05,2023-T2,2023-05-01,2023-05-15
20230519,2023-05-19,2023,2,5,May,19,20,5,Friday,false,2023-05,2023-T2,2023-05-01,2023-05-15
20230520,2023-05-20,2023,2,5,May,20,20,6,Saturday,true,2023-05,2023-T2,2023-05-01,2023-05-15
20230521,2023-05-21,2023,2,5,May,21,20,7,Sunday,true,2023-05,2023-T2,2023-05-01,2023-05-15
20230522,2023-05-22,2023,2,5,May,22,21,1,Monday,false,2023-05,2023-T2,2023-05-01,2023-05-22
